"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"399","Zack MacEwen","N.J","R","3","19","23","7","76.67","17","4","80.95","8","3","72.73","0","0","-","0.97","0.11","89.84","8","1","88.89","4","0","100.00","0","0","-","4","1","80.00","0","0","-","13","4","76.47","0","0","-","0.00","100.00","1.000","3","0","0","23","100.00","9","1","2","81.82"
"272","Dysin Mayo","CBJ","D","1","7.55","12","4","75.00","9","4","69.23","8","4","66.67","0","1","0.00","0.4","0.25","61.23","4","3","57.14","2","2","50.00","0","0","-","2","1","66.67","0","1","0.00","9","1","90.00","0","0","-","0.00","75.00","0.750","2","4","0","7","100.00","3","5","1","75.00"
"746","Pavol Regenda","S.J","L","2","25.433333333333","35","12","74.47","24","10","70.59","15","9","62.50","2","2","50.00","2.15","0.75","74.13","17","6","73.91","10","4","71.43","2","1","66.67","7","2","77.78","0","0","-","18","13","58.06","0","1","0.00","13.33","77.78","0.911","2","9","9","12","18.18","5","11","12","29.41"
"764","Hunter Brzustewicz","CGY","D","3","43.133333333333","52","24","68.42","34","16","68.00","22","11","66.67","2","1","66.67","1.83","1.54","54.36","22","13","62.86","5","7","41.67","0","1","0.00","17","6","73.91","2","0","100.00","39","6","86.67","0","0","-","9.09","90.91","1.000","5","2","0","49","100.00","22","8","1","95.65"
"473","Andrei Svechnikov","CAR","R","32","533.03333333333","792","382","67.46","566","302","65.21","357","206","63.41","31","22","58.49","40.41","23.23","63.50","371","195","65.55","130","79","62.20","5","11","31.25","241","116","67.51","18","9","66.67","525","209","71.53","7","0","100.00","8.68","89.32","0.980","159","80","55","344","74.30","297","119","125","70.38"
"685","Jackson Blake","CAR","R","32","544.01666666667","692","343","66.86","481","266","64.39","299","184","61.90","25","18","58.14","36.04","22.27","61.81","372","168","68.89","147","76","65.92","13","8","61.90","225","92","70.98","9","7","56.25","371","175","67.95","3","0","100.00","8.36","90.22","0.986","122","100","22","379","84.72","227","139","69","76.69"
"162","Shayne Gostisbehere","CAR","D","23","467.08333333333","650","323","66.80","479","248","65.89","310","153","66.95","39","19","67.24","33.93","20.28","62.59","337","158","68.08","127","71","64.14","15","8","65.22","210","87","70.71","21","10","67.74","406","167","70.86","3","0","100.00","12.58","87.58","1.002","123","84","27","317","82.00","258","134","76","77.25"
"240","Nikolaj Ehlers","CAR","L","32","527.35","726","362","66.73","518","273","65.49","340","194","63.67","34","18","65.38","38.67","22.93","62.78","368","180","67.15","136","87","60.99","15","9","62.50","232","93","71.38","15","6","71.43","442","189","70.05","4","1","80.00","10.00","90.72","1.007","154","85","27","351","85.08","281","121","86","76.57"
"624","Bogdan Trineyev","WSH","R","1","11.75","16","8","66.67","12","5","70.59","10","4","71.43","0","0","-","0.51","0.37","57.89","6","3","66.67","2","0","100.00","0","0","-","4","3","57.14","0","0","-","9","5","64.29","0","0","-","0.00","100.00","1.000","0","3","2","11","0.00","3","5","2","60.00"
"661","Logan Stankoven","CAR","C","32","499.15","643","329","66.15","451","254","63.97","287","168","63.08","26","18","59.09","32.85","20.66","61.40","345","171","66.86","141","72","66.20","15","8","65.22","204","99","67.33","8","8","50.00","337","166","67.00","3","0","100.00","9.06","89.29","0.983","120","102","23","342","83.92","207","139","72","74.19"
"297","Sebastian Aho","CAR","C","32","639.45","885","471","65.27","645","369","63.61","414","266","60.88","44","33","57.14","47.37","31.61","59.98","426","248","63.20","145","111","56.64","11","14","44.00","281","137","67.22","23","12","65.71","575","255","69.28","9","4","69.23","10.63","87.59","0.982","174","86","71","396","71.02","338","131","132","71.91"
"509","John Leonard","DET","L","1","13.033333333333","15","8","65.22","10","7","58.82","6","4","60.00","0","0","-","0.62","0.46","57.58","7","4","63.64","4","1","80.00","0","0","-","3","3","50.00","0","0","-","11","4","73.33","0","0","-","0.00","100.00","1.000","3","2","0","14","100.00","7","3","1","87.50"
"556","Pavel Dorofeyev","VGK","R","31","539.2","703","380","64.91","477","273","63.60","312","171","64.60","32","19","62.75","41.39","20.29","67.11","372","167","69.02","157","60","72.35","18","7","72.00","215","107","66.77","6","6","50.00","460","218","67.85","7","3","70.00","10.26","88.89","0.991","153","78","64","301","70.51","304","106","111","73.25"
"431","Josh Norris","BUF","C","6","101.28333333333","135","73","64.90","104","58","64.20","71","43","62.28","9","9","50.00","8.89","4.59","65.92","73","34","68.22","34","16","68.00","6","6","50.00","39","18","68.42","3","0","100.00","75","50","60.00","0","2","0.00","12.68","79.07","0.917","29","18","20","58","59.18","54","28","32","62.79"
"463","Brady Tkachuk","OTT","L","12","217.1","314","173","64.48","220","119","64.90","157","82","65.69","17","11","60.71","16.64","11.82","58.46","157","82","65.69","60","29","67.42","7","6","53.85","97","53","64.67","7","3","70.00","220","83","72.61","3","2","60.00","10.83","86.59","0.974","77","53","13","162","85.56","142","69","31","82.08"
"469","K'Andre Miller","CAR","D","25","570.35","694","383","64.44","507","281","64.34","308","190","61.85","26","27","49.06","33.44","22.37","59.92","339","201","62.78","125","83","60.10","9","14","39.13","214","118","64.46","11","10","52.38","411","228","64.32","5","2","71.43","8.44","85.79","0.942","100","103","101","398","49.75","234","159","193","54.80"
"616","Luke Evangelista","NSH","R","31","500.78333333333","604","334","64.39","431","264","62.01","282","182","60.78","34","16","68.00","33.74","20","62.78","297","158","65.27","133","66","66.83","20","11","64.52","164","92","64.06","7","4","63.64","349","188","64.99","7","1","87.50","12.06","91.21","1.033","85","116","44","337","65.89","181","168","121","59.93"
"96","Mark Stone","VGK","R","15","284.5","366","203","64.32","277","126","68.73","192","86","69.06","32","14","69.57","23.33","11.34","67.29","188","99","65.51","89","44","66.92","21","7","75.00","99","55","64.29","3","4","42.86","217","120","64.39","7","3","70.00","16.67","83.72","1.004","58","50","43","167","57.43","128","80","79","61.84"
"594","Seth Jarvis","CAR","C","32","605.75","821","456","64.29","619","353","63.68","396","247","61.59","40","34","54.05","47.39","29.77","61.42","398","237","62.68","139","104","57.20","12","15","44.44","259","133","66.07","19","13","59.38","546","253","68.34","8","4","66.67","10.10","86.23","0.963","175","88","69","366","71.72","327","131","140","70.02"
"152","Tomas Hertl","VGK","C","31","551.51666666667","699","396","63.84","475","286","62.42","306","178","63.22","38","22","63.33","43.67","21.48","67.03","369","178","67.46","160","69","69.87","21","10","67.74","209","109","65.72","7","7","50.00","457","234","66.14","8","2","80.00","12.42","87.64","1.001","161","80","74","302","68.51","306","111","134","69.55"
"274","Victor Olofsson","COL","L","33","442.63333333333","578","328","63.80","420","240","63.64","291","158","64.81","25","16","60.98","28.88","14.81","66.10","257","134","65.73","97","56","63.40","12","8","60.00","160","78","67.23","8","4","66.67","390","218","64.14","4","4","50.00","8.59","89.87","0.985","107","78","48","339","69.03","195","110","114","63.11"
"87","Taylor Hall","CAR","L","32","447.63333333333","565","321","63.77","398","244","61.99","247","154","61.60","25","17","59.52","29.09","20.25","58.95","275","168","62.08","113","67","62.78","13","8","61.90","162","101","61.60","7","7","50.00","331","151","68.67","5","0","100.00","10.12","88.96","0.991","112","94","30","322","78.87","207","140","69","75.00"
"210","Nathan MacKinnon","COL","C","33","722.7","1028","586","63.69","749","430","63.53","509","286","64.03","77","17","81.91","64.14","27.67","69.86","563","276","67.10","208","123","62.84","34","7","82.93","355","153","69.88","24","6","80.00","614","335","64.70","16","3","84.21","15.13","94.06","1.092","177","141","61","388","74.37","409","219","164","71.38"
"791","Daniil But","UTA","L","8","95.683333333333","127","73","63.50","85","53","61.59","61","40","60.40","5","3","62.50","8.28","4.08","67.00","65","36","64.36","31","18","63.27","2","3","40.00","34","18","65.38","1","0","100.00","63","46","57.80","2","0","100.00","8.20","92.50","1.007","16","15","15","80","51.61","38","20","27","58.46"
"207","William Carrier","CAR","L","26","300.4","381","221","63.29","251","157","61.52","147","103","58.80","15","14","51.72","15.14","10.03","60.15","177","109","61.89","76","46","62.30","7","7","50.00","101","63","61.59","7","4","63.64","228","136","62.64","1","3","25.00","10.20","86.41","0.966","69","118","68","194","50.36","116","163","113","50.66"
"327","Artemi Panarin","NYR","L","35","726","951","558","63.02","688","413","62.49","429","278","60.68","48","38","55.81","50.17","35.21","58.76","490","276","63.97","191","98","66.09","16","21","43.24","299","178","62.68","21","8","72.41","580","285","67.05","11","4","73.33","11.19","86.33","0.975","146","114","76","453","65.77","335","168","158","67.95"
"191","Carter Verhaeghe","FLA","C","31","547.7","722","424","63.00","518","326","61.37","339","204","62.43","41","24","63.08","42.24","27.71","60.39","388","199","66.10","161","85","65.45","27","8","77.14","227","114","66.57","12","12","50.00","409","239","63.12","2","3","40.00","12.09","88.24","1.003","141","107","54","361","72.31","245","143","113","68.44"
"115","Nikita Kucherov","T.B","R","30","623.4","835","493","62.88","629","382","62.22","388","262","59.69","53","29","64.63","57.56","29.91","65.81","461","242","65.58","177","104","62.99","21","16","56.76","284","138","67.30","22","6","78.57","487","253","65.81","10","4","71.43","13.66","88.93","1.026","139","84","46","388","75.14","286","130","128","69.08"
"2","Corey Perry","L.A","R","26","352.18333333333","462","275","62.69","327","203","61.70","208","129","61.72","24","12","66.67","27.77","14.19","66.18","231","125","64.89","113","52","68.48","12","5","70.59","118","73","61.78","6","4","60.00","284","139","67.14","6","2","75.00","11.54","90.70","1.022","89","44","14","258","86.41","171","80","60","74.03"
"573","Arseny Gritsyuk","N.J","R","31","467.96666666667","591","352","62.67","429","261","62.17","275","174","61.25","21","20","51.22","26.88","19.89","57.47","274","175","61.02","111","74","60.00","12","11","52.17","163","101","61.74","6","3","66.67","359","191","65.27","3","4","42.86","7.64","88.51","0.961","73","92","55","366","57.03","157","139","109","59.02"
"800","Michael Brandsegg-Nygård","DET","R","9","112.05","145","87","62.50","99","50","66.44","62","30","67.39","2","6","25.00","6.75","3.27","67.38","66","40","62.26","31","16","65.96","1","3","25.00","35","24","59.32","1","2","33.33","96","54","64.00","0","1","0.00","3.23","80.00","0.832","18","31","18","91","50.00","40","37","34","54.05"
"636","Matt Rempe","NYR","C","11","104.4","126","76","62.38","82","55","59.85","51","38","57.30","4","4","50.00","5.15","2.75","65.18","53","32","62.35","26","8","76.47","2","1","66.67","27","24","52.94","2","3","40.00","67","46","59.29","0","0","-","7.84","89.47","0.973","12","21","14","96","46.15","19","25","27","41.30"
"427","Martin Necas","COL","C","33","689.11666666667","943","569","62.37","679","418","61.90","453","272","62.48","66","18","78.57","56.53","26.72","67.91","505","271","65.08","186","113","62.21","30","7","81.08","319","158","66.88","20","7","74.07","562","321","63.65","13","3","81.25","14.57","93.38","1.080","159","127","54","389","74.65","366","190","156","70.11"
"211","Jonathan Drouin","NYI","L","28","516.26666666667","620","380","62.00","471","271","63.48","307","173","63.96","27","15","64.29","40.78","21.12","65.88","329","192","63.15","111","81","57.81","9","8","52.94","218","111","66.26","13","6","68.42","390","195","66.67","5","1","83.33","8.79","91.33","1.001","119","114","52","302","69.59","232","160","104","69.05"
"51","Chris Kreider","ANA","L","30","520.6","681","419","61.91","484","309","61.03","302","201","60.04","38","25","60.32","37.54","27.12","58.06","337","217","60.83","144","97","59.75","18","17","51.43","193","120","61.66","13","2","86.67","415","206","66.83","7","3","70.00","12.58","87.56","1.001","138","116","45","347","75.41","253","153","104","70.87"
"192","Oliver Bjorkstrand","T.B","R","33","467.45","533","328","61.90","384","232","62.34","250","154","61.88","25","16","60.98","30.93","12.49","71.24","262","116","69.31","106","52","67.09","14","7","66.67","156","64","70.91","5","5","50.00","322","217","59.74","6","4","60.00","10.00","89.61","0.996","128","98","44","288","74.42","191","123","81","70.22"
"537","Arthur Kaliyev","OTT","R","2","21.216666666667","39","24","61.90","27","18","60.00","17","14","54.84","2","0","100.00","1.99","1.53","56.50","18","13","58.06","8","8","50.00","0","0","-","10","5","66.67","1","0","100.00","22","14","61.11","1","0","100.00","11.76","100.00","1.118","6","4","2","16","75.00","7","5","6","53.85"
"155","Filip Forsberg","NSH","L","32","596.08333333333","739","456","61.84","529","350","60.18","353","235","60.03","32","26","55.17","41.29","29.15","58.62","341","223","60.46","148","94","61.16","17","13","56.67","193","129","59.94","9","6","60.00","483","260","65.01","5","5","50.00","9.07","88.94","0.980","122","144","56","379","68.54","267","212","165","61.81"
"650","Josh Doan","BUF","R","32","503.4","653","403","61.84","486","304","61.52","313","188","62.48","38","28","57.58","38.52","21.4","64.28","309","176","63.71","150","77","66.08","22","14","61.11","159","99","61.63","10","9","52.63","395","256","60.68","6","1","85.71","12.14","85.11","0.972","122","102","77","372","61.31","233","132","144","61.80"
"117","Gabriel Landeskog","COL","L","33","510.51666666667","669","415","61.72","493","297","62.41","326","213","60.48","36","17","67.92","42.89","17.55","70.96","335","183","64.67","143","81","63.84","18","10","64.29","192","102","65.31","10","5","66.67","402","263","60.45","7","2","77.78","11.04","92.02","1.031","92","91","73","378","55.76","196","151","161","54.90"
"701","Owen Beck","MTL","C","6","50.716666666667","58","36","61.70","38","25","60.32","22","14","61.11","2","1","66.67","1.92","1.84","51.13","23","18","56.10","8","10","44.44","0","1","0.00","15","8","65.22","1","0","100.00","37","15","71.15","1","0","100.00","9.09","92.86","1.019","14","9","3","45","82.35","20","12","10","66.67"
"379","Jesper Bratt","N.J","L","33","623.26666666667","823","512","61.65","579","369","61.08","402","247","61.94","41","35","53.95","50.52","27.94","64.39","450","260","63.38","196","113","63.43","20","21","48.78","254","147","63.34","12","6","66.67","455","274","62.41","7","5","58.33","10.20","85.83","0.960","119","126","72","432","62.30","267","170","145","64.81"
"318","Mitch Marner","VGK","R","31","621.95","768","479","61.59","555","323","63.21","382","215","63.99","53","23","69.74","47.89","24.6","66.07","415","219","65.46","186","72","72.09","30","9","76.92","229","147","60.90","10","8","55.56","457","270","62.86","11","3","78.57","13.87","89.30","1.032","145","105","79","343","64.73","314","148","154","67.09"
"352","Adam Fox","NYR","D","27","643.7","816","513","61.40","575","368","60.98","357","248","59.01","41","29","58.57","47.05","28.35","62.40","408","225","64.45","181","81","69.08","19","12","61.29","227","144","61.19","12","7","63.16","516","317","61.94","7","6","53.85","11.48","88.31","0.998","116","129","84","374","58.00","325","216","192","62.86"
"443","Drake Batherson","OTT","R","29","529.2","614","386","61.40","437","287","60.36","274","192","58.80","42","22","65.63","34.06","26.74","56.02","316","179","63.84","124","80","60.78","22","12","64.71","192","99","65.98","11","4","73.33","416","200","67.53","9","6","60.00","15.33","88.54","1.039","164","99","37","405","81.59","265","137","79","77.03"
"450","Sean Walker","CAR","D","32","740.21666666667","878","552","61.40","627","418","60.00","390","291","57.27","31","45","40.79","42.91","35.89","54.46","428","298","58.95","156","119","56.73","11","20","35.48","272","179","60.31","8","16","33.33","511","321","61.42","10","6","62.50","7.95","84.54","0.925","134","132","140","517","48.91","292","217","255","53.38"
"120","Ryan Strome","ANA","C","16","191.61666666667","243","153","61.36","173","109","61.35","113","66","63.13","11","7","61.11","12.09","6.51","64.98","117","65","64.29","42","26","61.76","5","4","55.56","75","39","65.79","5","2","71.43","128","96","57.14","1","1","50.00","9.73","89.39","0.991","32","43","27","164","54.24","59","65","53","52.68"
"536","Jack Hughes","N.J","C","17","359.5","465","293","61.35","328","198","62.36","224","136","62.22","27","17","61.36","26.56","16.17","62.16","249","145","63.20","100","66","60.24","7","12","36.84","149","79","65.35","12","3","80.00","244","156","61.00","6","1","85.71","12.05","87.50","0.996","64","50","15","258","81.01","133","70","51","72.28"
"277","Bokondji Imama","PIT","L","2","15.283333333333","19","12","61.29","15","10","60.00","7","7","50.00","0","0","-","0.73","0.37","66.39","10","5","66.67","3","2","60.00","0","0","-","7","3","70.00","0","0","-","11","8","57.89","0","0","-","0.00","100.00","1.000","2","3","4","11","33.33","5","4","5","50.00"
"601","Alexis Lafrenière","NYR","L","35","602.33333333333","727","460","61.25","526","327","61.66","332","224","59.71","32","34","48.48","38.93","28.16","58.02","363","212","63.13","162","75","68.35","11","15","42.31","201","137","59.47","11","10","52.38","440","252","63.58","7","6","53.85","9.64","84.82","0.945","127","123","71","456","64.14","252","171","144","63.64"
"372","Jordan Kyrou","STL","R","28","453.78333333333","497","317","61.06","340","234","59.23","236","175","57.42","22","25","46.81","26.85","15.05","64.09","278","126","68.81","103","47","68.67","11","10","52.38","175","79","68.90","8","6","57.14","296","188","61.16","3","7","30.00","9.32","85.71","0.950","101","90","31","346","76.52","187","127","76","71.10"
"587","Lucas Raymond","DET","L","32","600.43333333333","707","453","60.95","534","314","62.97","352","200","63.77","47","23","67.14","47.09","24.33","65.93","388","212","64.67","170","80","68.00","23","11","67.65","218","132","62.29","13","6","68.42","392","279","58.42","4","4","50.00","13.35","88.50","1.019","131","151","85","345","60.65","250","192","172","59.24"
"525","Dylan Cozens","OTT","C","32","566.25","632","406","60.89","451","294","60.54","296","196","60.16","35","28","55.56","34.19","27.16","55.72","331","183","64.40","125","85","59.52","18","11","62.07","206","98","67.76","13","11","54.17","418","221","65.41","4","6","40.00","11.82","85.71","0.975","157","134","77","386","67.09","254","174","130","66.15"
"71","Jason Zucker","BUF","L","21","327.75","406","261","60.87","310","209","59.73","202","143","58.55","20","19","51.28","25.48","16.59","60.56","206","116","63.98","93","64","59.24","12","11","52.17","113","52","68.48","6","2","75.00","246","140","63.73","2","4","33.33","9.90","86.71","0.966","94","64","29","225","76.42","165","79","47","77.83"
"747","Stephen Halliday","OTT","C","9","64.05","73","47","60.83","47","36","56.63","36","22","62.07","2","2","50.00","4.1","2.36","63.49","37","25","59.68","21","15","58.33","2","2","50.00","16","10","61.54","0","0","-","39","21","65.00","0","0","-","5.56","90.91","0.965","17","11","2","71","89.47","23","12","10","69.70"
"250","Jared McCann","SEA","L","11","189.21666666667","253","163","60.82","196","117","62.62","122","66","64.89","13","8","61.90","15.12","9.09","62.43","129","65","66.49","54","25","68.35","8","4","66.67","75","40","65.22","2","3","40.00","168","93","64.37","3","0","100.00","10.66","87.88","0.985","65","48","15","126","81.25","114","59","33","77.55"
"241","Kevin Fiala","L.A","L","32","611.03333333333","724","469","60.69","519","335","60.77","340","224","60.28","31","25","55.36","41.67","24.98","62.52","351","232","60.21","149","110","57.53","20","14","58.82","202","122","62.35","9","7","56.25","465","250","65.03","2","2","50.00","9.12","88.84","0.980","115","97","54","381","68.05","268","162","132","67.00"
"558","Jordan Spence","OTT","D","23","424.86666666667","489","317","60.67","352","226","60.90","228","155","59.53","21","14","60.00","23.92","15.72","60.34","238","141","62.80","104","71","59.43","11","10","52.38","134","70","65.69","7","2","77.78","307","177","63.43","3","2","60.00","9.21","90.97","1.002","84","98","25","354","77.06","175","140","69","71.72"
"304","Mathew Barzal","NYI","C","33","697.83333333333","850","555","60.50","639","389","62.16","435","255","63.04","43","22","66.15","53.89","31.11","63.40","446","272","62.12","175","125","58.33","17","12","58.62","271","147","64.83","20","7","74.07","515","292","63.82","4","2","66.67","9.89","91.37","1.013","141","129","50","417","73.82","294","181","135","68.53"
"262","Brayden Point","T.B","C","26","486.16666666667","590","386","60.45","430","297","59.15","274","211","56.49","33","27","55.00","34.19","19.86","63.25","323","161","66.74","104","61","63.03","10","13","43.48","219","100","68.65","17","6","73.91","370","232","61.46","6","5","54.55","12.04","87.20","0.992","141","71","46","300","75.40","257","115","104","71.19"
"664","Mackie Samoskevich","FLA","R","32","482.85","558","366","60.39","404","276","59.41","247","192","56.26","23","19","54.76","29.96","21.08","58.70","257","161","61.48","119","77","60.71","15","11","57.69","138","84","62.16","6","5","54.55","330","225","59.46","2","3","40.00","9.31","90.10","0.994","96","96","58","385","62.34","170","142","119","58.82"
"359","Jakob Chychrun","WSH","D","33","767.65","926","612","60.21","688","457","60.09","444","291","60.41","53","22","70.67","56.86","32.17","63.87","462","303","60.39","200","119","62.70","27","8","77.14","262","184","58.74","16","8","66.67","580","321","64.37","10","3","76.92","11.94","92.44","1.044","113","102","51","461","68.90","342","194","145","70.23"
"288","Connor McDavid","EDM","C","34","770.85","925","612","60.18","688","468","59.52","451","301","59.97","68","41","62.39","59.31","38.81","60.44","471","338","58.22","191","135","58.59","27","21","56.25","280","203","57.97","27","12","69.23","579","296","66.17","12","5","70.59","15.08","86.38","1.015","128","131","71","413","64.32","331","202","135","71.03"
"358","Clayton Keller","UTA","R","35","670.83333333333","727","481","60.18","572","340","62.72","393","217","64.43","45","30","60.00","44.2","30.52","59.15","378","245","60.67","159","105","60.23","19","12","61.29","219","140","61.00","16","11","59.26","474","245","65.92","9","3","75.00","11.45","86.18","0.976","186","115","62","427","75.00","347","164","151","69.68"
"762","Zach Benson","BUF","L","19","326.43333333333","394","262","60.06","281","189","59.79","195","125","60.94","22","12","64.71","24.04","12.82","65.23","188","127","59.68","92","53","63.45","14","8","63.64","96","74","56.47","5","3","62.50","234","143","62.07","3","1","75.00","11.28","90.40","1.017","59","70","48","236","55.14","130","93","81","61.61"
"462","Quinn Hughes","MIN, VAN","D","28","769.6","991","661","59.99","735","500","59.51","449","314","58.85","46","38","54.76","61.04","39.14","60.93","528","321","62.19","237","153","60.77","31","22","58.49","291","168","63.40","13","8","61.90","629","354","63.99","1","2","33.33","10.24","87.90","0.981","129","124","74","351","63.55","397","185","165","70.64"
"818","Ben Kindel","PIT","C","29","460.81666666667","561","376","59.87","411","256","61.62","272","156","63.55","24","18","57.14","33.38","18.45","64.41","313","180","63.49","124","67","64.92","10","8","55.56","189","113","62.58","9","5","64.29","312","212","59.54","5","4","55.56","8.82","88.46","0.973","102","83","42","320","70.83","180","113","89","66.91"
"775","Bradly Nadeau","CAR","L","6","69.016666666667","79","53","59.85","50","34","59.52","25","23","52.08","2","1","66.67","2.9","3.15","47.91","33","21","61.11","12","12","50.00","0","1","0.00","21","9","70.00","1","0","100.00","59","32","64.84","1","0","100.00","8.00","95.65","1.037","21","14","10","42","67.74","38","20","21","64.41"
"237","Sam Bennett","FLA","C","32","556.43333333333","669","449","59.84","474","337","58.45","310","225","57.94","32","25","56.14","37.18","24.87","59.92","340","200","62.96","156","88","63.93","21","10","67.74","184","112","62.16","7","11","38.89","386","250","60.69","4","3","57.14","10.32","88.89","0.992","112","116","53","417","67.88","222","166","114","66.07"
"279","Darren Raddysh","T.B","D","27","559.4","678","455","59.84","502","353","58.71","314","237","56.99","35","22","61.40","42.76","29.65","59.05","359","223","61.68","153","97","61.20","14","10","58.33","206","126","62.05","10","5","66.67","378","251","60.10","11","3","78.57","11.15","90.72","1.019","89","81","59","367","60.14","218","137","129","62.82"
"356","Alex DeBrincat","DET","R","34","614.81666666667","751","506","59.75","586","356","62.21","403","245","62.19","50","29","63.29","49.46","28.97","63.06","407","231","63.79","169","93","64.50","20","16","55.56","238","138","63.30","19","8","70.37","442","288","60.55","8","3","72.73","12.41","88.16","1.006","136","103","79","402","63.26","264","156","156","62.86"
"392","Michael Carcone","UTA","L","33","394.3","475","320","59.75","332","232","58.87","213","141","60.17","18","18","50.00","25.66","17.34","59.68","221","162","57.70","109","79","57.98","9","11","45.00","112","83","57.44","6","7","46.15","270","190","58.70","3","0","100.00","8.45","87.23","0.957","66","108","58","322","53.23","119","135","116","50.64"
"529","Cole Caufield","MTL","R","33","608.68333333333","689","466","59.65","526","315","62.54","327","201","61.93","47","22","68.12","42.52","25.61","62.41","381","220","63.39","132","87","60.27","19","13","59.38","249","133","65.18","16","6","72.73","396","255","60.83","12","2","85.71","14.37","89.05","1.034","145","150","61","333","70.39","282","189","126","69.12"
"707","Cutter Gauthier","ANA","L","34","610.95","779","527","59.65","559","398","58.41","355","272","56.62","52","26","66.67","40.31","30.07","57.28","375","283","56.99","147","116","55.89","26","11","70.27","228","167","57.72","15","8","65.22","459","263","63.57","10","5","66.67","14.65","90.44","1.051","120","122","68","449","63.83","252","178","132","65.63"
"583","Jack Ahcan","COL","D","6","68.133333333333","90","61","59.60","64","44","59.26","44","26","62.86","5","1","83.33","4.91","2.54","65.89","52","30","63.41","23","9","71.88","3","0","100.00","29","21","58.00","2","1","66.67","35","34","50.72","0","0","-","11.36","96.15","1.075","4","18","8","62","33.33","15","26","19","44.12"
"9","Brad Marchand","FLA","L","31","569.36666666667","715","486","59.53","524","387","57.52","335","262","56.11","46","36","56.10","44.64","36.96","54.70","375","236","61.37","180","117","60.61","28","15","65.12","195","119","62.10","10","13","43.48","412","279","59.62","5","7","41.67","13.73","86.26","1.000","130","118","74","376","63.73","255","164","143","64.07"
"481","Barrett Hayton","UTA","C","30","461.86666666667","485","330","59.51","363","240","60.20","255","162","61.15","20","20","50.00","28.46","17.1","62.47","239","152","61.13","94","73","56.29","4","10","28.57","145","79","64.73","11","8","57.89","288","219","56.80","4","2","66.67","7.84","87.65","0.955","107","104","77","338","58.15","188","129","145","56.46"
"3","Alex Ovechkin","WSH","L","33","587.21666666667","704","480","59.46","512","371","57.98","316","250","55.83","45","22","67.16","45.42","25.48","64.06","374","230","61.92","157","99","61.33","24","8","75.00","217","131","62.36","15","9","62.50","462","221","67.64","4","2","66.67","14.24","91.20","1.054","188","96","0","380","100.00","331","141","43","88.50"
"48","Nazem Kadri","CGY","C","34","674.76666666667","809","554","59.35","566","409","58.05","381","288","56.95","37","33","52.86","44.54","32.94","57.49","406","268","60.24","172","114","60.14","20","15","57.14","234","154","60.31","9","9","50.00","538","282","65.61","6","5","54.55","9.71","88.54","0.983","174","95","53","440","76.65","372","177","123","75.15"
"236","Leon Draisaitl","EDM","C","34","746.9","882","604","59.35","677","439","60.66","463","281","62.23","70","33","67.96","54.15","33.96","61.46","432","331","56.62","175","123","58.72","28","18","60.87","257","208","55.27","26","9","74.29","583","291","66.70","14","3","82.35","15.12","88.26","1.034","144","145","86","393","62.61","338","202","172","66.27"
"387","Ross Colton","COL","C","33","438.98333333333","551","378","59.31","406","257","61.24","272","162","62.67","26","18","59.09","26.42","16.02","62.26","255","162","61.15","107","68","61.14","13","8","61.90","148","94","61.16","9","6","60.00","312","247","55.81","3","3","50.00","9.56","88.89","0.984","65","97","67","378","49.24","148","146","165","47.28"
"458","Eric Robinson","CAR","L","26","292.55","330","227","59.25","233","168","58.10","150","100","60.00","16","12","57.14","14.38","13.26","52.02","149","119","55.60","62","54","53.45","6","7","46.15","87","65","57.24","4","4","50.00","193","119","61.86","5","0","100.00","10.67","88.00","0.987","59","82","35","215","62.77","118","109","68","63.44"
"501","Linus Karlsson","VAN","C","30","307.51666666667","354","244","59.20","234","189","55.32","145","127","53.31","19","16","54.29","18.83","13.81","57.69","180","127","58.63","79","57","58.09","9","12","42.86","101","70","59.06","6","2","75.00","177","123","59.00","4","2","66.67","13.10","87.40","1.005","56","55","15","315","78.87","89","73","39","69.53"
"797","Zayne Parekh","CGY","D","11","162.4","187","129","59.18","130","101","56.28","89","71","55.63","5","4","55.56","8.45","8.01","51.35","95","55","63.33","32","21","60.38","1","2","33.33","63","34","64.95","3","1","75.00","118","66","64.13","1","0","100.00","5.62","94.37","1.000","43","27","5","145","89.58","86","33","18","82.69"
"667","Brandt Clarke","L.A","D","32","593.11666666667","678","468","59.16","466","320","59.29","303","214","58.61","26","18","59.09","30.21","21.31","58.64","299","203","59.56","125","90","58.14","15","9","62.50","174","113","60.63","7","6","53.85","424","268","61.27","4","3","57.14","8.58","91.59","1.002","87","93","59","456","59.59","209","154","135","60.76"
